unique_id,account_number,name,bank,password,account_balance
100001,8358190375,buhari,XYZ Bank,buhari,1000.0
58130,4345990937,Sreeranjan,Unilag Bank,weaponed,10000.0
87370,2255040028,satyvani,Unilag Bank,weaponed,10000.0
42587,1609739822,royce,Unilag Bank,weaponede,10000.0
96775,1793660943,frank,Unilag Bank,weaponed,10000.0
58035,8291627435,doreen,Unilag Bank,weaponed,10000.0
73884,8108978817,sreeranjan,Unilag Bank,weaponed,10000.0
19163,8555583470,davidroyce,Unilag Bank,weaponed,10000.0
19129,1277726461,satyavani,Unilag Bank,12345678,10000.0
57320,6250764104,doreennithika,Unilag Bank,12345678,10000.0
77939,9445318152,godsgrace,Unilag Bank,weaponed,10000.0
88347,5373866442,doreennithika,Unilag Bank,weaponed,10000.0
54158,2222,sri,Unilag Bank,123456789,12000.0
83215,1111,sri,Unilag Bank,12345678,30000.0
34696,6577279247,sidhu,Unilag Bank,789456123,3355.0
97963,9350249888,muralidhar,Pragathi Bank,naidu123,5900.0
21271,9158266090,sidhu,Pragathi Bank,ssssssssss,10000.0
68607,4255276389,muralidhar,Pragathi Bank,murali123,10000.0
57305,4315909727,dharn,Pragathi Bank,dharn123,10000.0
21123,6872347191,katrina,Pragathi Bank,katrina123,10000.0
87892,7701110588,ramya,Pragathi Bank,ramya123,8000.0
