unique_id,account_number,name,bank,password,account_balance
100001,8358190375,buhari,XYZ Bank,buhari,1000
58130,4345990937,Sreeranjan,Unilag Bank,weaponed,10000
87370,2255040028,satyvani,Unilag Bank,weaponed,10000
42587,1609739822,royce,Unilag Bank,weaponede,10000
96775,1793660943,frank,Unilag Bank,weaponed,10000
58035,8291627435,doreen,Unilag Bank,weaponed,10000
73884,8108978817,sreeranjan,Unilag Bank,weaponed,10000
19163,8555583470,davidroyce,Unilag Bank,weaponed,10000
19129,1277726461,satyavani,Unilag Bank,12345678,10000
57320,6250764104,doreennithika,Unilag Bank,12345678,10000
77939,9445318152,godsgrace,Unilag Bank,weaponed,10000
88347,5373866442,doreennithika,Unilag Bank,weaponed,10000
54158,2222,sri,Unilag Bank,123456789,12000
83215,1111,sri,Unilag Bank,12345678,30000
34696,6577279247,sidhu,Unilag Bank,789456123,3355
97963,9350249888,muralidhar,Pragathi Bank,naidu123,5900
21271,9158266090,sidhu,Pragathi Bank,ssssssssss,10000
68607,4255276389,muralidhar,Pragathi Bank,murali123,10000
57305,4315909727,dharn,Pragathi Bank,dharn123,10000
21123,6872347191,katrina,Pragathi Bank,katrina123,10000
87892,7701110588,ramya,Pragathi Bank,ramya123,8000
18370,1079361368,Pooja,Pragathi Bank,Pooja@123,9000
